dataset,sample_size,seed,iteration,split,method,accuracy,macro_f1,delta_vs_vanilla,delta_vs_random_aug,per_class_accuracy_delta,result_file
sst2,4,5,,,random_aug,51.949478308621636,41.749771605364785,-6.095551894563428,0.0,"{""0"": -64.91228070175438, ""1"": 52.91529152915291}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-5/random_aug.json
sst2,4,5,,,vanilla,58.045030203185064,56.7845383497136,0.0,6.095551894563428,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-5/vanilla.json
sst2,4,6,,,error_driven,53.157605711147724,40.49614605348292,-9.9945085118067,-13.893465129049972,"{""0"": 20.065789473684205, ""1"": -40.15401540154016}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-6/error_driven.json
sst2,4,6,,,random_aug,67.0510708401977,66.73680980250323,3.8989566172432717,0.0,"{""0"": -2.4122807017543977, ""1"": 10.231023102310225}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-6/random_aug.json
sst2,4,6,,,vanilla,63.152114222954424,62.179655234638595,0.0,-3.8989566172432717,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-6/vanilla.json
sst2,4,7,,,error_driven,53.26743547501373,43.41046602793342,-3.953871499176273,-5.436573311367383,"{""0"": 25.109649122807028, ""1"": -33.11331133113311}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-7/error_driven.json
sst2,4,7,,,random_aug,58.70400878638111,58.641135608577464,1.4827018121911095,0.0,"{""0"": -15.021929824561397, ""1"": 18.041804180418048}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-7/random_aug.json
sst2,4,7,,,vanilla,57.22130697419,56.52780557138046,0.0,-1.4827018121911095,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-7/vanilla.json
sst2,4,8,,,error_driven,61.72432729269632,61.0928089700961,-0.604063701263037,-6.479956068094445,"{""0"": -25.219298245614034, ""1"": 24.09240924092409}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-8/error_driven.json
sst2,4,8,,,random_aug,68.20428336079077,68.05132470649195,5.875892366831408,0.0,"{""0"": 0.8771929824561369, ""1"": 10.89108910891089}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-8/random_aug.json
sst2,4,8,,,vanilla,62.32839099395936,61.78573438826878,0.0,-5.875892366831408,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-8/vanilla.json
sst2,4,9,,,error_driven,50.52169137836353,34.529363246650796,-11.4222954420648,-0.8237232289950711,"{""0"": 25.21929824561404, ""1"": -48.18481848184818}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-9/error_driven.json
sst2,4,9,,,random_aug,51.3454146073586,37.16816158167096,-10.59857221306973,0.0,"{""0"": -70.72368421052632, ""1"": 49.72497249724973}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-9/random_aug.json
sst2,4,9,,,vanilla,61.94398682042833,61.3160927062792,0.0,10.59857221306973,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/4-shot/seed-9/vanilla.json
sst2,8,0,,,error_driven,60.84568918176826,60.48490990682536,1.9220208676551351,8.456891817682589,"{""0"": -6.030701754385959, ""1"": 9.900990099009896}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-0/error_driven.json
sst2,8,0,,,random_aug,52.38879736408567,42.66266599988887,-6.534870950027454,0.0,"{""0"": -46.05263157894736, ""1"": 33.11331133113311}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-0/random_aug.json
sst2,8,0,,,vanilla,58.92366831411312,58.91324806949807,0.0,6.534870950027454,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-0/vanilla.json
sst2,8,1,,,error_driven,58.5941790225151,57.01531506712082,-1.0433827567270768,-6.864360241625484,"{""0"": 1.754385964912288, ""1"": -3.850385038503852}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-1/error_driven.json
sst2,8,1,,,random_aug,65.45853926414058,65.44649361893399,5.820977484898407,0.0,"{""0"": -8.662280701754383, ""1"": 20.35203520352036}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-1/random_aug.json
sst2,8,1,,,vanilla,59.637561779242176,58.52690707252055,0.0,-5.820977484898407,"{""0"": 0.0, ""1"": 0.0}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-1/vanilla.json
sst2,8,2,,,error_driven,65.84294343767161,64.66120795519214,-5.271828665568364,-5.93080724876441,"{""0"": -32.456140350877185, ""1"": 22.002200220021997}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-2/error_driven.json
sst2,8,2,,,random_aug,71.77375068643602,71.54009223988207,0.6589785831960455,0.0,"{""0"": 0.7675438596491233, ""1"": 0.5500550055005533}",/tmp/cloud3_results_k5bbj9te/sst2/8-shot/seed-2/random_aug.json
